Слово,Частота,Частота (%)
grace,13,0.0395329
haste,13,0.0395329
none,13,0.0395329
norway,13,0.0395329
ourselves,13,0.0395329
rey,13,0.0395329
room,13,0.0395329
saw,13,0.0395329
sense,13,0.0395329
sent,13,0.0395329
virtue,13,0.0395329
any,12,0.0364919
bed,12,0.0364919
being,12,0.0364919
bring,12,0.0364919
drown,12,0.0364919
ere,12,0.0364919
fall,12,0.0364919
fire,12,0.0364919
fit,12,0.0364919
foul,12,0.0364919
further,12,0.0364919
has,12,0.0364919
help,12,0.0364919
kind,12,0.0364919
madam,12,0.0364919
marcellus,12,0.0364919
myself,12,0.0364919
name,12,0.0364919
oft,12,0.0364919
passion,12,0.0364919
please,12,0.0364919
purpose,12,0.0364919
remember,12,0.0364919
revenge,12,0.0364919
same,12,0.0364919
seem,12,0.0364919
sleep,12,0.0364919
thought,12,0.0364919
together,12,0.0364919
turn,12,0.0364919
twere,12,0.0364919
voice,12,0.0364919
word,12,0.0364919
best,11,0.0334509
business,11,0.0334509
courtier,11,0.0334509
deed,11,0.0334509
each,11,0.0334509
face,11,0.0334509
far,11,0.0334509
fellow,11,0.0334509
free,11,0.0334509
full,11,0.0334509
hands,11,0.0334509
honest,11,0.0334509
mean,11,0.0334509
near,11,0.0334509
peace,11,0.0334509
right,11,0.0334509
ring,11,0.0334509
second,11,0.0334509
swear,11,0.0334509
things,11,0.0334509
thousand,11,0.0334509
uncle,11,0.0334509
villain,11,0.0334509
way,11,0.0334509
wind,11,0.0334509
action,10,0.0304099
alas,10,0.0304099
almost,10,0.0304099
alone,10,0.0304099
arms,10,0.0304099
aught,10,0.0304099
awhile,10,0.0304099
command,10,0.0304099
doubt,10,0.0304099
excellent,10,0.0304099
fine,10,0.0304099
given,10,0.0304099
ground,10,0.0304099
hell,10,0.0304099
husband,10,0.0304099
late,10,0.0304099
lie,10,0.0304099
memory,10,0.0304099
neither,10,0.0304099
news,10,0.0304099
noise,10,0.0304099
offence,10,0.0304099
phrase,10,0.0304099
pyrrhus,10,0.0304099
skull,10,0.0304099
soft,10,0.0304099
takes,10,0.0304099
thanks,10,0.0304099
three,10,0.0304099
walk,10,0.0304099
work,10,0.0304099
age,9,0.0273689
attendants,9,0.0273689
back,9,0.0273689
behind,9,0.0273689
bernardo,9,0.0273689
breath,9,0.0273689
came,9,0.0273689
custom,9,0.0273689
draw,9,0.0273689
ears,9,0.0273689
fell,9,0.0273689
gave,9,0.0273689
get,9,0.0273689
gives,9,0.0273689
ha,9,0.0273689
judgment,9,0.0273689
kill,9,0.0273689
lay,9,0.0273689
letters,9,0.0273689
light,9,0.0273689
lost,9,0.0273689
meet,9,0.0273689
pardon,9,0.0273689
place,9,0.0273689
poison,9,0.0273689
red,9,0.0273689
return,9,0.0273689
seek,9,0.0273689
sight,9,0.0273689
strange,9,0.0273689
sun,9,0.0273689
sure,9,0.0273689
thank,9,0.0273689
through,9,0.0273689
adieu,8,0.0243279
beseech,8,0.0243279
black,8,0.0243279
break,8,0.0243279
charge,8,0.0243279
conscience,8,0.0243279
devil,8,0.0243279
every,8,0.0243279
falls,8,0.0243279
fashion,8,0.0243279
flourish,8,0.0243279
fran,8,0.0243279
grow,8,0.0243279
hither,8,0.0243279
hope,8,0.0243279
hour,8,0.0243279
joy,8,0.0243279
known,8,0.0243279
law,8,0.0243279
less,8,0.0243279
looks,8,0.0243279
lordship,8,0.0243279
music,8,0.0243279
pale,8,0.0243279
particular,8,0.0243279
power,8,0.0243279
quick,8,0.0243279
says,8,0.0243279
sea,8,0.0243279
seal,8,0.0243279
service,8,0.0243279
shame,8,0.0243279
shows,8,0.0243279
sister,8,0.0243279
sit,8,0.0243279
tears,8,0.0243279
truly,8,0.0243279
unto,8,0.0243279
wherein,8,0.0243279
wife,8,0.0243279
wilt,8,0.0243279
woe,8,0.0243279
woman,8,0.0243279
wrong,8,0.0243279
arm,7,0.0212869
bad,7,0.0212869
beg,7,0.0212869
bloody,7,0.0212869
capt,7,0.0212869
coming,7,0.0212869
common,7,0.0212869
desire,7,0.0212869
die,7,0.0212869
dies,7,0.0212869
dust,7,0.0212869
effect,7,0.0212869
enough,7,0.0212869
fool,7,0.0212869
general,7,0.0212869
heavens,7,0.0212869
heavy,7,0.0212869
house,7,0.0212869
ill,7,0.0212869
lack,7,0.0212869
list,7,0.0212869
lose,7,0.0212869
loves,7,0.0212869
maid,7,0.0212869
mouth,7,0.0212869
needs,7,0.0212869
obey,7,0.0212869
osric,7,0.0212869
piece,7,0.0212869
